Date,Close/Last,Volume,Open,High,Low
07/11/2023,$58.75,2681382,$58.06,$58.97,$58.06
07/10/2023,$58.08,2758280,$58.06,$58.62,$57.88
07/07/2023,$58.20,3089457,$57.28,$58.73,$57.28
07/06/2023,$57.60,4172130,$57.16,$57.67,$56.97
07/05/2023,$57.71,2751840,$57.34,$57.77,$56.88
07/03/2023,$57.94,2257880,$57.55,$58.435,$57.55
06/30/2023,$57.54,3228866,$57.91,$57.95,$57.35
06/29/2023,$57.20,3862531,$56.59,$57.40,$56.55
06/28/2023,$56.46,3858542,$56.24,$56.52,$55.68
06/27/2023,$56.45,3349845,$55.54,$56.78,$55.40
06/26/2023,$55.67,3348876,$55.38,$56.11,$55.10
06/23/2023,$55.22,5255589,$55.01,$55.49,$54.84
06/22/2023,$55.97,3987312,$56.71,$56.755,$55.30
06/21/2023,$56.46,3984890,$56.14,$56.61,$55.55
06/20/2023,$56.08,4082976,$56.70,$57.16,$55.94
06/16/2023,$57.30,10319270,$56.86,$57.51,$56.43
06/15/2023,$56.62,4709011,$54.96,$57.07,$54.92
06/14/2023,$55.84,4211489,$56.67,$57.42,$55.57
06/13/2023,$56.63,3495425,$56.35,$57.415,$56.20
06/12/2023,$56.22,2926857,$56.58,$56.8601,$55.53
06/09/2023,$56.88,3593509,$56.35,$56.995,$56.19
06/08/2023,$56.63,5151166,$56.56,$57.06,$56.12
06/07/2023,$56.73,3684325,$56.19,$57.01,$55.52
06/06/2023,$55.93,4290187,$54.58,$56.12,$54.535
06/05/2023,$54.23,3421305,$55.08,$54.905,$54.16
06/02/2023,$55.20,3782187,$54.44,$55.69,$54.305
06/01/2023,$53.74,3836440,$53.27,$53.89,$53.07
05/31/2023,$52.83,9756800,$54.10,$54.47,$52.78
05/30/2023,$54.72,2803855,$54.14,$54.77,$53.68
05/26/2023,$54.07,3115883,$53.73,$54.37,$53.40
05/25/2023,$53.68,3798492,$54.44,$54.67,$53.54
05/24/2023,$54.57,3211990,$55.10,$55.42,$54.41
05/23/2023,$55.77,6493786,$55.40,$56.8988,$55.25
05/22/2023,$53.96,2632371,$53.84,$54.01,$53.25
05/19/2023,$53.85,2732395,$54.74,$54.85,$53.57
05/18/2023,$54.31,2533324,$53.73,$54.43,$53.16
05/17/2023,$53.74,4081497,$52.86,$54.09,$52.86
05/16/2023,$52.31,4336736,$52.55,$53.22,$52.13
05/15/2023,$52.54,2942950,$52.89,$52.93,$52.07
05/12/2023,$52.49,3076484,$53.15,$53.339,$51.86
